"","Destination","Origin","value","centroid_x.origin","centroid_y.origin","centroid_x.dest","centroid_y.dest","distance"
"1","East Midlands","South West",2,319860.5642,123144.6158,480245.0311,337071.2098,267.371959717615
"2","East Midlands","North West",7,353042.2986,461732.8963,480245.0311,337071.2098,178.104102244982
"3","East Midlands","West Midlands",16,381687.9714,286831.3057,480245.0311,337071.2098,110.62342419527
"4","East Midlands","London",2,531212.7216,179649.3251,480245.0311,337071.2098,165.467082096119
"5","East Midlands","South East",7,503631.6794,155998.0231,480245.0311,337071.2098,182.577200823106
"6","East Midlands","Yorkshire and The Humber",16,450750.791,452352.3384,480245.0311,337071.2098,118.994322597199
"7","East Midlands","North East",2,406273.6439,569213.7522,480245.0311,337071.2098,243.643030099833
"8","East Midlands","East of England",16,573238.55,264265.6392,480245.0311,337071.2098,118.103537913969
"9","East Midlands","East Midlands",82,480245.0311,337071.2098,480245.0311,337071.2098,0
"10","East of England","Yorkshire and The Humber",4,450750.791,452352.3384,573238.55,264265.6392,224.45457785662
"11","East of England","West Midlands",8,381687.9714,286831.3057,573238.55,264265.6392,192.875175869224
"12","East of England","South East",11,503631.6794,155998.0231,573238.55,264265.6392,128.712832035901
"13","East of England","East Midlands",15,480245.0311,337071.2098,573238.55,264265.6392,118.103537913969
"14","East of England","North East",1,406273.6439,569213.7522,573238.55,264265.6392,347.664538731293
"15","East of England","South West",2,319860.5642,123144.6158,573238.55,264265.6392,290.02680381911
"16","East of England","East of England",114,573238.55,264265.6392,573238.55,264265.6392,0
"17","East of England","North West",3,353042.2986,461732.8963,573238.55,264265.6392,295.769685324932
"18","East of England","London",15,531212.7216,179649.3251,573238.55,264265.6392,94.477991429624
"19","London","West Midlands",4,381687.9714,286831.3057,531212.7216,179649.3251,183.971812753235
"20","London","Yorkshire and The Humber",1,450750.791,452352.3384,531212.7216,179649.3251,284.325615692254
"21","London","South West",2,319860.5642,123144.6158,531212.7216,179649.3251,218.775036534592
"22","London","South East",17,503631.6794,155998.0231,531212.7216,179649.3251,36.333152562548
"23","London","North West",1,353042.2986,461732.8963,531212.7216,179649.3251,333.640286495717
"24","London","London",44,531212.7216,179649.3251,531212.7216,179649.3251,0
"25","London","East Midlands",4,480245.0311,337071.2098,531212.7216,179649.3251,165.467082096119
"26","London","North East",0,406273.6439,569213.7522,531212.7216,179649.3251,409.109051474393
"27","London","East of England",24,573238.55,264265.6392,531212.7216,179649.3251,94.477991429624
"28","North East","East Midlands",2,480245.0311,337071.2098,406273.6439,569213.7522,243.643030099833
"29","North East","North East",42,406273.6439,569213.7522,406273.6439,569213.7522,0
"30","North East","South West",0,319860.5642,123144.6158,406273.6439,569213.7522,454.362074552752
"31","North East","Yorkshire and The Humber",7,450750.791,452352.3384,406273.6439,569213.7522,125.039220444986
"32","North East","London",0,531212.7216,179649.3251,406273.6439,569213.7522,409.109051474393
"33","North East","South East",0,503631.6794,155998.0231,406273.6439,569213.7522,424.530123609696
"34","North East","West Midlands",1,381687.9714,286831.3057,406273.6439,569213.7522,283.45070362164
"35","North East","East of England",1,573238.55,264265.6392,406273.6439,569213.7522,347.664538731293
"36","North East","North West",3,353042.2986,461732.8963,406273.6439,569213.7522,119.940445669692
"37","North West","Yorkshire and The Humber",17,450750.791,452352.3384,353042.2986,461732.8963,98.1577523866359
"38","North West","West Midlands",10,381687.9714,286831.3057,353042.2986,461732.8963,177.231884728947
"39","North West","South West",2,319860.5642,123144.6158,353042.2986,461732.8963,340.210304355613
"40","North West","South East",2,503631.6794,155998.0231,353042.2986,461732.8963,340.80929315432
"41","North West","East Midlands",13,480245.0311,337071.2098,353042.2986,461732.8963,178.104102244982
"42","North West","North East",4,406273.6439,569213.7522,353042.2986,461732.8963,119.940445669692
"43","North West","North West",116,353042.2986,461732.8963,353042.2986,461732.8963,0
"44","North West","London",1,531212.7216,179649.3251,353042.2986,461732.8963,333.640286495717
"45","North West","East of England",4,573238.55,264265.6392,353042.2986,461732.8963,295.769685324932
"46","South East","West Midlands",8,381687.9714,286831.3057,503631.6794,155998.0231,178.850819837877
"47","South East","South West",11,319860.5642,123144.6158,503631.6794,155998.0231,186.68467841007
"48","South East","North West",3,353042.2986,461732.8963,503631.6794,155998.0231,340.80929315432
"49","South East","South East",102,503631.6794,155998.0231,503631.6794,155998.0231,0
"50","South East","Yorkshire and The Humber",2,450750.791,452352.3384,503631.6794,155998.0231,301.035327752251
"51","South East","North East",1,406273.6439,569213.7522,503631.6794,155998.0231,424.530123609696
"52","South East","London",12,531212.7216,179649.3251,503631.6794,155998.0231,36.333152562548
"53","South East","East of England",20,573238.55,264265.6392,503631.6794,155998.0231,128.712832035901
"54","South East","East Midlands",10,480245.0311,337071.2098,503631.6794,155998.0231,182.577200823106
"55","South West","North West",2,353042.2986,461732.8963,319860.5642,123144.6158,340.210304355613
"56","South West","West Midlands",7,381687.9714,286831.3057,319860.5642,123144.6158,174.974171612537
"57","South West","East of England",4,573238.55,264265.6392,319860.5642,123144.6158,290.02680381911
"58","South West","North East",0,406273.6439,569213.7522,319860.5642,123144.6158,454.362074552752
"59","South West","South West",101,319860.5642,123144.6158,319860.5642,123144.6158,0
"60","South West","East Midlands",4,480245.0311,337071.2098,319860.5642,123144.6158,267.371959717615
"61","South West","London",1,531212.7216,179649.3251,319860.5642,123144.6158,218.775036534592
"62","South West","South East",9,503631.6794,155998.0231,319860.5642,123144.6158,186.68467841007
"63","South West","Yorkshire and The Humber",2,450750.791,452352.3384,319860.5642,123144.6158,354.273871589811
"64","West Midlands","North East",1,406273.6439,569213.7522,381687.9714,286831.3057,283.45070362164
"65","West Midlands","South West",6,319860.5642,123144.6158,381687.9714,286831.3057,174.974171612537
"66","West Midlands","East Midlands",19,480245.0311,337071.2098,381687.9714,286831.3057,110.62342419527
"67","West Midlands","East of England",8,573238.55,264265.6392,381687.9714,286831.3057,192.875175869224
"68","West Midlands","North West",12,353042.2986,461732.8963,381687.9714,286831.3057,177.231884728947
"69","West Midlands","West Midlands",84,381687.9714,286831.3057,381687.9714,286831.3057,0
"70","West Midlands","Yorkshire and The Humber",7,450750.791,452352.3384,381687.9714,286831.3057,179.351290257909
"71","West Midlands","London",3,531212.7216,179649.3251,381687.9714,286831.3057,183.971812753235
"72","West Midlands","South East",7,503631.6794,155998.0231,381687.9714,286831.3057,178.850819837877
"73","Yorkshire and The Humber","West Midlands",5,381687.9714,286831.3057,450750.791,452352.3384,179.351290257909
"74","Yorkshire and The Humber","South East",2,503631.6794,155998.0231,450750.791,452352.3384,301.035327752251
"75","Yorkshire and The Humber","Yorkshire and The Humber",103,450750.791,452352.3384,450750.791,452352.3384,0
"76","Yorkshire and The Humber","South West",1,319860.5642,123144.6158,450750.791,452352.3384,354.273871589811
"77","Yorkshire and The Humber","North West",14,353042.2986,461732.8963,450750.791,452352.3384,98.1577523866359
"78","Yorkshire and The Humber","North East",7,406273.6439,569213.7522,450750.791,452352.3384,125.039220444986
"79","Yorkshire and The Humber","London",0,531212.7216,179649.3251,450750.791,452352.3384,284.325615692254
"80","Yorkshire and The Humber","East Midlands",15,480245.0311,337071.2098,450750.791,452352.3384,118.994322597199
"81","Yorkshire and The Humber","East of England",4,573238.55,264265.6392,450750.791,452352.3384,224.45457785662
